"This paper presents a novel approach for verifying the stability of a class of continuous dynamical systems using Lyapunov functions. The proposed abstraction framework enables us to obtain an estimate of the distance between a given dynamical system and a stable reference model. We further provide a set of sufficient conditions for the stability of the abstracted system and present an algorithm to construct the corresponding Lyapunov functions. Our approach is demonstrated on a benchmark example from control theory, indicating its potential applicability in diverse real-world settings.",0,Proofs for an Abstraction of Continuous Dynamical Systems Utilizing  Lyapunov Functions
This paper proposes a control-theoretical methodology for solving scheduling problems. The methodology is based on defining a control objective that guides the scheduling decisions and designing a feedback controller that adjusts the schedule in real-time to meet the control objectives. The proposed methodology provides a systematic approach for solving scheduling problems that can guarantee the optimality of the schedule under certain conditions. The paper presents a case study to demonstrate the application of the proposed methodology and shows its effectiveness in handling different types of scheduling problems. The results suggest that the proposed control-theoretical methodology can be a useful tool for solving practical scheduling problems that require real-time adjustments to meet changing demands and constraints.,0,A control-theoretical methodology for the scheduling problem
"This paper presents a general proof of convergence for adaptive distributed beamforming schemes. The proposed proof establishes the convergence of the adaptive beamforming algorithms, which can be applied to various wireless communication systems. The analysis is based on the Lyapunov function approach and provides a rigorous mathematical framework for showing the convergence of the algorithms. The paper also includes simulation results that confirm the convergence of the proposed algorithm. This proof is expected to have important implications for the design of distributed adaptive beamforming systems in wireless communications.",0,A General Proof of Convergence for Adaptive Distributed Beamforming  Schemes
"This paper discusses the problem of parameter selection in periodic nonuniform sampling of multiband signals. The traditional uniform sampling method is ineffective in capturing signals that exhibit frequency variations. As such, nonuniform sampling techniques have been proposed, but their effectiveness is highly dependent on the choice of sampling parameters. This paper proposes a novel method for selecting optimal sampling parameters that balances the trade-off between frequency resolution and aliasing distortion. The proposed method is evaluated on both simulation and real-world data and is shown to outperform existing methods in terms of signal reconstruction accuracy. Overall, this paper presents a practical solution to the parameter selection problem in periodic nonuniform sampling of multiband signals, with potential applications in wireless communications, medical imaging, and audio processing.",0,Parameter Selection in Periodic Nonuniform Sampling of Multiband Signals
"This paper explores the concept of diffieties and Liouvillian systems, which are important topics in the field of differential equations. Diffieties are a class of vector fields that are closed under differentiation, while Liouvillian systems refer to systems of differential equations that have a closed form solution in terms of elementary functions. In this paper, we will study the properties of diffieties and their relationship with Liouvillian systems. We will also investigate the conditions that determine the existence of Liouvillian solutions for specific types of differential equations. The insights gained from this study can contribute towards a better understanding of the behavior of systems governed by differential equations, with potential applications in fields such as physics, engineering, and finance.",0,Diffieties and Liouvillian Systems
"This paper proposes the use of a fuzzy controller in a matrix converter system to enhance the quality of its output. The matrix converter is a direct AC-AC converter that can achieve bi-directional power conversion between any two voltage levels, making it an ideal candidate for various industrial applications. However, the performance of a matrix converter is limited by its non-linear and complex characteristics. To address this issue, the proposed fuzzy controller employs a parallel distributed compensation strategy that adapts to the converter's variable operating conditions. Simulation results demonstrate the effectiveness of the proposed approach in improving the output quality of the matrix converter system, particularly during transient periods. The proposed fuzzy controller can significantly enhance the performance of matrix converters in industrial applications where voltage and frequency conversion are required.",0,Fuzzy Controller for Matrix Converter System to Improve its Quality of  Output
"This paper presents a comparative study between two control approaches, namely Proportional Control and Fuzzy Control, for regulating the response time in an Autonomic Computing System (ACS). The main objective of this study is to determine the effectiveness of each approach in controlling the ACS response time while considering various system parameters such as workload, resource utilization, and network conditions. The evaluation is conducted on a simulated ACS environment, and the results show that the Fuzzy Control approach outperforms the Proportional Control approach in terms of achieving faster response times and better resource utilization efficiency. Furthermore, the Fuzzy Control approach is proved to be more flexible and robust to changes in the system parameters compared to the Proportional Control approach, indicating its suitability for implementing efficient and adaptable ACS control systems.",0,Regulating Response Time in an Autonomic Computing System: A Comparision  of Proportional Control and Fuzzy Control Approaches
"This paper proposes a directed factor graph based fault diagnosis model construction approach for a mode switching satellite power system. The proposed approach employs a combination of directed factor graphs and Bayesian networks to form an efficient method for diagnosing and isolating faults in the satellite power system. The constructed model takes into account the mode changes in the system and accurately represents the fault diagnosis process by identifying and isolating faults at a system-level. The effectiveness of the proposed approach is demonstrated through simulation results, which show its ability to accurately diagnose and isolate faults in a mode switching satellite power system.",0,Directed factor graph based fault diagnosis model construction for mode  switching satellite power system
"This paper presents a novel approach for the abstraction of control systems based on timed game theory. Using this approach, complex control systems can be modeled and analyzed in a simpler, yet accurate way, by mapping their behavior onto a timed game. This game abstraction method allows for the identification of critical states and control strategies that can be used to optimize the performance of the system. The paper also presents a case study where the proposed method was applied to a real-world control system, demonstrating its effectiveness in representing and analyzing complex control structures. Overall, this paper provides a valuable contribution to the field of control systems engineering and shows promising potential for real-world applications.",0,Timed Game Abstraction of Control Systems
"This paper presents a novel computational approach for generating supremal simulation-based controllable and strong observable subautomata. The proposed method utilizes a combination of simulation-driven and lexicographic techniques to enable the efficient computation of subautomata that meet the desired control and observability criteria. The theoretical analysis of the proposed approach is complemented with experimental evaluations on benchmark automaton models, demonstrating the effectiveness and performance of the technique. Overall, this paper contributes to the advancement of subautomata computation methods and expands the possibilities for designing and implementing controllable and observable systems.",0,Computation for Supremal Simulation-Based Controllable and Strong  Observable Subautomata
